ID,Nome,Preferito,Posizione,Durata,Giocatori,Età,Tipologia,Collezione,Note,ParoleChiave,URLImmagine
g0108,Palazzo Pazzo,FALSE,Casa,10,2,5,Manualità,,legno,Palazzo Pazzo Casa Manualità legno,https://www.dl.dropboxusercontent.com/scl/fi/8z9gtlu0c0tart6us7hvn/palazzoPazzo.jpeg?rlkey=z5qj0b5x201wrjzhi0x2ci2je&dl=0
g0109,Passaparola,FALSE,Casa,15,2;6,8,Parole,,parole,Passaparola Casa Parole parole,https://www.dl.dropboxusercontent.com/scl/fi/czghhvtp0q6g5zx3lz0am/passaparola.png?rlkey=fs5q4ge6r48yy77bnjsu10l1o&dl=0
g0110,Rubik's Revolution,FALSE,Casa,15,2;6,8,Velocità;Memoria,,,Rubik's Revolution Casa Velocità;Memoria ,https://www.dl.dropboxusercontent.com/scl/fi/r5bar1xo0m05o34dgz5oa/RubiksRevolution.png?rlkey=h6ckfe38ubsf5w9p6l672d19u&dl=0
g0111,Poeticamente,FALSE,Casa,20,2;8,8,Parole;Creatività,,istruttivo poesia,Poeticamente Casa Parole;Creatività istruttivo poesia,https://www.dl.dropboxusercontent.com/scl/fi/dgfseuqqjy3utvb1cu5lx/poeticamente.jpeg?rlkey=jb1a3rviq6mx5cv3p1mml94t9&dl=0
g0112,Passa la Bomda,FALSE,Casa,15,2;8,8,Parole;Velocità,,parole parola sillabe lettere,Passa la Bomda Casa Parole;Velocità parole parola sillabe lettere,https://www.dl.dropboxusercontent.com/scl/fi/vk4rjvd7rag1rodho0hbk/passaBomba.png?rlkey=4rt86wy2ekqzry1ruqvobileh&dl=0
g0113,T.I.M.E. Stories,FALSE,Casa,90,2;4,14,Deduzione;EscapeRoom;Cooperativo,,time escape room ,T.I.M.E. Stories Casa Deduzione;EscapeRoom;Cooperativo time escape room ,https://www.dl.dropboxusercontent.com/scl/fi/nee90gphwr2mhhhe9ld7v/timeStories.png?rlkey=8fon8j2zdy2t9rle1znnxm71g&dl=0
g0114,The Wolves,FALSE,Casa,75,2;5,14,StrategiaGenerica;Plancia;GestioneRisorse,,lupi,The Wolves Casa StrategiaGenerica;Plancia;GestioneRisorse lupi,https://www.dl.dropboxusercontent.com/scl/fi/ycux974en5ft94a5pqdkz/wolves.jpeg?rlkey=8syq7117cavf66rurai6vyuxq&dl=0
g0115,Happy Little Dinosaurs,FALSE,Casa,45,2;4,8,Famiglia;StrategiaGenerica;Bluff,,unstable games dinosauro dinosauri stegosauro,Happy Little Dinosaurs Casa Famiglia;StrategiaGenerica;Bluff unstable games dinosauro dinosauri stegosauro,https://www.dl.dropboxusercontent.com/scl/fi/0fauh206d24aa3wtxis8y/happyLittleDinosaur.jpeg?rlkey=ulzqt859n5npm7js355lq01tq&dl=0
g0116,Exit - Il laboratorio segreto,FALSE,Casa,90,1;6,12,Deduzione;EscapeRoom;Cooperativo,g0045,,Exit - Il laboratorio segreto Casa Deduzione;EscapeRoom;Cooperativo ,https://www.dl.dropboxusercontent.com/scl/fi/4u63b7227yeutvqlhj5us/exitLaboratorioSegreto.jpeg?rlkey=qfo6a2z5rlcmnge4esz65aqkl&dl=0
g0117,Mysterium,FALSE,Casa,42,2;7,10,Deduzione;EscapeRoom;Cooperativo,,misterium medium fantasma,Mysterium Casa Deduzione;EscapeRoom;Cooperativo misterium medium fantasma,https://www.dl.dropboxusercontent.com/scl/fi/gqntbpsieqvexigf8sfi1/mysterium.jpg?rlkey=0jxh4kcwphu3y9gsvv178y81y&dl=0
g0118,The Nightmare Before Christmas,FALSE,Casa,45,2;6,10,StrategiaGenerale;Carte;Famiglia,,take over the holidays disney,The Nightmare Before Christmas Casa StrategiaGenerale;Carte;Famiglia take over the holidays disney,https://www.dl.dropboxusercontent.com/scl/fi/8e0q50wm8l2nwhinihstg/nightmareBeforeChristmas.jpeg?rlkey=xp59474ud6zujnyjvm5hm4svv&dl=0
g0119,13 Indizi,FALSE,Casa,30,2;6,8,StrategiaGenerica;Deduzione,,tredici,13 Indizi Casa StrategiaGenerica;Deduzione tredici,https://www.dl.dropboxusercontent.com/scl/fi/v36qxiv28gq8912muzhyg/13indizi.jpg?rlkey=p9ghacrq3ymy9vhm3yn1cmrf7&dl=0
g0120,find ordet - find the word,FALSE,Genitori Vr,20,2;6,6,Parole;Velocità,,tiger trova la parola,find ordet - find the word Genitori Vr Parole;Velocità tiger trova la parola,https://www.dl.dropboxusercontent.com/scl/fi/ovw5gih6dxhglgidjh6dl/findOrdet.jpeg?rlkey=8a4a4vxaetxclbyymimeu3wyn&dl=0
g0121,Dobble,FALSE,Genitori Vr,10,2;8,6,PartyGame;Velocità,,immagini matematica,Dobble Genitori Vr PartyGame;Velocità immagini matematica,https://www.dl.dropboxusercontent.com/scl/fi/uzv17tyzh206rjqhtoqn4/Dobble.png?rlkey=15rdvj74v08zrz84y78tetpeo&dl=0
g0122,Venice connection,FALSE,Genitori Vr,5,2,8,StrategiaGenerica;Scacchi,,venezia canale fiume,Venice connection Genitori Vr StrategiaGenerica;Scacchi venezia canale fiume,https://www.dl.dropboxusercontent.com/scl/fi/v8e62awjddppncjqwzlov/VeniceConnection.jpg?rlkey=a5gkyxut270cd2ywnk15vhm6g&dl=0
g0123,Patchwork,FALSE,Genitori Vr,30,2,8,StrategiaGenerica;Plancia,,Puzzle,Patchwork Genitori Vr StrategiaGenerica;Plancia Puzzle,https://www.dl.dropboxusercontent.com/scl/fi/2dx6bufromtek4l5ipclm/patchwork.jpg?rlkey=x47ww3no6s8e9t023081feivz&dl=0
g0124,Slapzi,FALSE,Genitori Vr,15,2;8,6,Parole;Velocità,g0124,,Slapzi Genitori Vr Parole;Velocità ,https://www.dl.dropboxusercontent.com/scl/fi/3nvyq7okf1jbcje1tqjef/slapzi.jpeg?rlkey=ixpb6xrx13qzr0i792tqvydba&dl=0
g0125,Gobble,FALSE,Genitori Vr,10,2,3,Classico;Famiglia,,tris,Gobble Genitori Vr Classico;Famiglia tris,https://www.dl.dropboxusercontent.com/scl/fi/q7upqawyrrbjz26gkofn6/gobble.png?rlkey=00e944pgtips8de7zsdh54y6i&dl=0
g0126,Exit - L'isola Dimenticata,FALSE,Casa,90,1;4,12,Deduzione;EscapeRoom;Cooperativo,g0045,,Exit - L'isola Dimenticata Casa Deduzione;EscapeRoom;Cooperativo ,https://www.dl.dropboxusercontent.com/scl/fi/y0qs9veyxe6h9s6bh7vbc/exitisoladimenticata.jpeg?rlkey=tucgpfmgac47m1y5o7dlwe3xt&dl=0
g0127,Marrakech,FALSE,Casa,25,2;4,8,Famiglia;StrategiaGenerica,,homemade mano fatto,Marrakech Casa Famiglia;StrategiaGenerica homemade mano fatto,https://www.dl.dropboxusercontent.com/scl/fi/9f3gk9xee1bupkxdgu480/Marrakech.png?rlkey=j43ilpc3bu00wy986aee7mcpl&dl=0
