ID,Nome,Preferito,Posizione,Durata,Giocatori,Età,Tipologia,Collezione,Note,ParoleChiave,URLImmagine
g0044,Concept,FALSE,Casa,40,4;12+,,DeduzioneParole;Creatività,,,Concept Casa DeduzioneParole;Creatività ,https://www.dl.dropboxusercontent.com/scl/fi/w2u3efx1xl9ipfs4lkwy9/concept.jpg?rlkey=s6xp8ud2qj443k89j04fvsu4f&dl=0
g0045,Exit - La Tomba del Faraone,FALSE,Casa,90,1;6,12,Deduzione;EscapeRoom;Cooperativo,g0045,escape room ,Exit - La Tomba del Faraone Casa Deduzione;EscapeRoom;Cooperativo escape room ,https://www.dl.dropboxusercontent.com/scl/fi/ntxrnvxk0b0z5z30ag73s/exitFaraone.jpg?rlkey=adwfti59xc49u23sdvkw37rt8&dl=0
g0046,Jenga,FALSE,Casa,10,1;2,,StrategiaGenerica;Manualità,,,Jenga Casa StrategiaGenerica;Manualità ,https://www.dl.dropboxusercontent.com/scl/fi/l0h71ih7ib0fh65suouy4/jenga.png?rlkey=2hwte51ww83g27i9xw9bb9iay&dl=0
g0047,Scotland Yard,FALSE,Casa,30,3;6,,StrategiaGruppo;Traditore;Deduzione;Logica,,,Scotland Yard Casa StrategiaGruppo;Traditore;Deduzione;Logica ,https://www.dl.dropboxusercontent.com/scl/fi/yp0anikocug02tc6b1yfo/scotlandYard.jpeg?rlkey=5vc4zamh6hl7myxmrvlefelaa&dl=0
g0048,Kaleidos,FALSE,Casa,20,2+,,DeduzioneParole;Creatività;Velocità,,,Kaleidos Casa DeduzioneParole;Creatività;Velocità ,https://www.dl.dropboxusercontent.com/scl/fi/rzpic59mzd5g3sna4a7p2/kaleidos.jpg?rlkey=04bjnr1rdi5qmg9onq9av58pd&dl=0
g0049,Cranium,FALSE,Casa,50,4+,,Creatività;Manualità;PartyGame;DeduzioneParole,,,Cranium Casa Creatività;Manualità;PartyGame;DeduzioneParole ,https://www.dl.dropboxusercontent.com/scl/fi/fvvgl0do39ig7hv5axmz9/cranium.png?rlkey=orwfctk6x5g7fu8wglgni195t&dl=0
g0050,Cortex+,FALSE,Casa,25,2;6,,Creatività;PartyGame;DeduzioneParole,,,Cortex+ Casa Creatività;PartyGame;DeduzioneParole ,https://www.dl.dropboxusercontent.com/scl/fi/ideh9y1wpywqh7igjamvs/cortex.jpeg?rlkey=ytksjnbm3m6g5az2l0a06inre&dl=0
g0051,I Soliti Sospetti,FALSE,Casa,20,3;18,,StrategiaGruppo;DeduzioneParole,,,I Soliti Sospetti Casa StrategiaGruppo;DeduzioneParole ,https://www.dl.dropboxusercontent.com/scl/fi/61n1mvsjj35vi3wqtbqst/solitiSospetti.png?rlkey=ech74o0j36i55gk6cj664efhz&dl=0
g0052,Metereopatici,FALSE,Casa,50,2;4,,Educativo;StrategiaGenerica;Plancia,,meteo tempo,Metereopatici Casa Educativo;StrategiaGenerica;Plancia meteo tempo,https://www.dl.dropboxusercontent.com/scl/fi/hz9a3h3gfx672si8em4et/metereopatici.jpg?rlkey=7dbji3iale6hb0xbf0e6oauwk&dl=0
g0053,Lego - City Alarm,FALSE,Casa,15,2;4,,StrategiaGenerica;Famiglia,,,Lego - City Alarm Casa StrategiaGenerica;Famiglia ,https://www.dl.dropboxusercontent.com/scl/fi/pewmm8tknc3dqz5i43ort/cityAlarm.jpeg?rlkey=u8bjr645ev132hgr2nbmydhxd&dl=0
g0054,Adrenalina,FALSE,Casa,60,3;5,,Sparatutto;StrategiaGenerica;Plancia,,,Adrenalina Casa Sparatutto;StrategiaGenerica;Plancia ,https://www.dl.dropboxusercontent.com/scl/fi/vm063w9gqiiix6db4dv5c/adrenalina.jpg?rlkey=i6j6zc5r5g37jjj135hncw92e&dl=0
g0055,Twister,FALSE,Casa,15,2+,,Manualità;Famiglia;PartyGame,,,Twister Casa Manualità;Famiglia;PartyGame ,https://www.dl.dropboxusercontent.com/scl/fi/s616ptwkay8cxer5mq3d9/twister.jpeg?rlkey=42aata1rfmu55itx9jd4hvrhy&dl=0
g0056,Forza Quattro Travel,FALSE,Casa,5,2,,StrategiaGenerica;Famiglia;Classico,,,Forza Quattro Travel Casa StrategiaGenerica;Famiglia;Classico ,https://www.dl.dropboxusercontent.com/scl/fi/7cjcm3v1165gh1wcf1e88/forza4Travel.jpeg?rlkey=1v6xu9j1y7fmqs46sodl7lskw&dl=0
g0057,Carte Siciliane,FALSE,Casa,15,1;4,,Carte;Classico,g0019,,Carte Siciliane Casa Carte;Classico ,https://www.dl.dropboxusercontent.com/scl/fi/i5yvn3ltpxrc00cfh9oj1/carteSiciliane.jpg?rlkey=nv5piqmvsay23eqq5xbogmkek&dl=0
g0058,Carte Trentine,FALSE,Casa,15,1;4,,Carte;Classico,g0019,,Carte Trentine Casa Carte;Classico ,https://www.dl.dropboxusercontent.com/scl/fi/0bhr17bo05bkltr6b8f4t/carteTrentine.jpg?rlkey=3fmcvez4j6kil024017qspxqz&dl=0
g0059,Carte Triestine,FALSE,Casa,15,1;4,,Carte;Classico,g0019,,Carte Triestine Casa Carte;Classico ,https://www.dl.dropboxusercontent.com/scl/fi/z1akfy9kzdk18xot7nuiq/carteTriestine.jpg?rlkey=x6scpnv787y4th1blahjok66r&dl=0
g0060,Carte Francesi,FALSE,Casa,15,1;4,,Carte;Classico,g0019,,Carte Francesi Casa Carte;Classico ,https://www.dl.dropboxusercontent.com/scl/fi/1mrk8glpfbbhmwnbws6nx/carteFrancesi.jpg?rlkey=06h07pa64jopd67b1m58hewv3&dl=0
